run_id,ts,timeframe,strategy,params,split,symbols,notes,trades,win_rate,avg_r,median_r,profit_factor,total_return_pct,max_dd_pct,sharpe,avg_dur_h,long_trades,short_trades,long_avg_r,short_avg_r,exit_sl,exit_tp,exit_trail,exit_flip
20260831_195415_baseline_4h,2026-08-31T11:54:15.732522+00:00,4h,baseline_4h,"{""atr_max"": 5.0, ""atr_min"": 0.5, ""ema"": 200, ""rr"": 1.5, ""rsi"": 14, ""rsi_long"": 55, ""rsi_short"": 45, ""st_mult"": 3.5, ""st_period"": 12}",train,156,,1199,45.54,-0.1353,-1.0277,0.762,-81.43,85.62,-2.29,0.0,435.0,764.0,-0.0922,-0.1599,653.0,546.0,0.0,0.0
20260831_195419_baseline_4h,2026-08-31T11:54:19.757453+00:00,4h,baseline_4h,"{""atr_max"": 5.0, ""atr_min"": 0.5, ""ema"": 200, ""rr"": 1.5, ""rsi"": 14, ""rsi_long"": 55, ""rsi_short"": 45, ""st_mult"": 3.5, ""st_period"": 12}",valid,145,,368,51.36,-0.0158,0.8659,0.968,-7.32,26.34,-0.28,0.0,142.0,226.0,0.0808,-0.0765,168.0,188.0,0.0,0.0
20260831_195423_baseline_4h,2026-08-31T11:54:23.788905+00:00,4h,baseline_4h,"{""atr_max"": 5.0, ""atr_min"": 0.5, ""ema"": 200, ""rr"": 1.5, ""rsi"": 14, ""rsi_long"": 55, ""rsi_short"": 45, ""st_mult"": 3.5, ""st_period"": 12}",full,161,,1567,46.9,-0.1073,-1.0259,0.806,-82.79,88.13,-1.99,0.0,577.0,990.0,-0.0496,-0.1409,821.0,734.0,0.0,0.0
20260831_195537_st_trail,2026-08-31T11:55:37.399577+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.0, ""st_period"": 10, ""trail_mult"": 2.5}",train,164,,2209,32.1,-0.0705,-0.2241,0.718,-79.77,81.46,-3.3,105.2,934.0,1275.0,-0.0397,-0.0931,36.0,0.0,1890.0,282.0
20260831_195541_st_trail,2026-08-31T11:55:41.087696+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.0, ""st_period"": 10, ""trail_mult"": 2.5}",train,162,,794,37.03,-0.004,-0.1509,0.983,-4.77,33.74,-0.09,106.5,442.0,352.0,0.001,-0.0103,11.0,0.0,661.0,122.0
20260831_195544_st_trail,2026-08-31T11:55:44.991260+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.0, ""st_period"": 10, ""trail_mult"": 3.5}",train,164,,1688,34.18,-0.0729,-0.2332,0.753,-72.04,82.78,-2.13,162.2,616.0,1072.0,-0.1103,-0.0514,51.0,0.0,765.0,870.0
20260831_195548_st_trail,2026-08-31T11:55:48.692699+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.0, ""st_period"": 10, ""trail_mult"": 3.5}",train,162,,698,38.4,0.0293,-0.1673,1.106,19.43,41.88,1.05,154.2,364.0,334.0,0.0369,0.0209,15.0,0.0,358.0,325.0
20260831_195552_st_trail,2026-08-31T11:55:52.535846+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.5, ""st_period"": 10, ""trail_mult"": 2.5}",train,164,,1896,32.86,-0.0739,-0.2203,0.705,-76.17,78.86,-3.7,109.8,856.0,1040.0,-0.0704,-0.0768,31.0,0.0,1716.0,148.0
20260831_195556_st_trail,2026-08-31T11:55:56.173064+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 3.5, ""st_period"": 10, ""trail_mult"": 2.5}",train,160,,626,36.1,-0.0248,-0.1699,0.897,-15.41,25.17,-0.99,105.6,380.0,246.0,-0.0276,-0.0205,13.0,0.0,553.0,60.0
20260831_195600_st_trail,2026-08-31T11:56:00.053465+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 3.5, ""st_period"": 10, ""trail_mult"": 3.5}",train,164,,1433,34.75,-0.0561,-0.2426,0.816,-57.44,76.88,-1.26,186.9,510.0,923.0,-0.0732,-0.0467,48.0,0.0,869.0,514.0
