symbol,entry_time,exit_time,direction,entry,exit,exit_reason,bars_held,gross_r,net_r
?,2026-03-01 18:30:00+00:00,2026-03-01 20:00:00+00:00,SHORT,0.629811,0.6192568562936698,tp,3,1.0000000000000075,0.9045211408865388
?,2026-03-03 02:30:00+00:00,2026-03-03 06:00:00+00:00,SHORT,0.619814,0.6280680202960093,sl,7,-0.9999999999999987,-1.1201478024568774
?,2026-03-03 10:00:00+00:00,2026-03-03 12:00:00+00:00,SHORT,0.6128161,0.6210603598076252,sl,4,-0.9999999999999994,-1.1189319335973757
?,2026-03-05 01:30:00+00:00,2026-03-05 08:30:00+00:00,SHORT,0.6088173,0.6168824917568659,sl,14,-1.0000000000000044,-1.1207792336953155
?,2026-03-06 14:30:00+00:00,2026-03-06 17:30:00+00:00,SHORT,0.6068179,0.5986596749141503,tp,6,1.00000000000001,0.8809902117454512
?,2026-03-10 00:00:00+00:00,2026-03-10 05:00:00+00:00,SHORT,0.5648305,0.5710581309034705,sl,10,-1.000000000000005,-1.145115986160389
?,2026-03-11 04:00:00+00:00,2026-03-11 08:30:00+00:00,SHORT,0.5618314000000001,0.5552365510545497,tp,9,0.9999999999999858,0.8636920652109501
?,2026-03-14 00:30:00+00:00,2026-03-14 01:00:00+00:00,LONG,0.5911772999999999,0.5841450189453569,sl,1,-1.0000000000000018,-1.1345059551303764
?,2026-03-14 02:00:00+00:00,2026-03-14 06:30:00+00:00,SHORT,0.5838248,0.5757844694226253,tp,9,0.9999999999999969,0.8838207370939934
?,2026-03-17 13:30:00+00:00,2026-03-18 00:00:00+00:00,SHORT,0.5808257,0.5752052282133624,tp,21,1.0000000000000004,0.8346542505187182
?,2026-03-18 10:00:00+00:00,2026-03-18 10:30:00+00:00,LONG,0.5861757999999999,0.5805098757974365,sl,1,-0.9999999999999875,-1.1655301494459813
?,2026-03-23 11:00:00+00:00,2026-03-23 11:00:00+00:00,SHORT,0.5158452,0.5252234245034507,sl,0,-0.999999999999995,-1.0880073109463586
?,2026-03-23 23:30:00+00:00,2026-03-24 03:00:00+00:00,SHORT,0.5168449,0.5234813391608528,sl,7,-0.9999999999999981,-1.1246077632833646
?,2026-03-24 13:30:00+00:00,2026-03-25 15:00:00+00:00,SHORT,0.5218434000000001,0.5156487594880753,tp,51,0.9999999999999964,0.8652142221339992
?,2026-03-26 01:00:00+00:00,2026-03-26 02:30:00+00:00,SHORT,0.5198440000000001,0.5152699891708533,tp,3,1.0000000000000027,0.8181573172717775
?,2026-03-29 03:00:00+00:00,2026-03-29 13:00:00+00:00,SHORT,0.4738578,0.4673133221120224,tp,20,0.999999999999998,0.8841508072946814
?,2026-04-07 06:00:00+00:00,2026-04-07 07:30:00+00:00,SHORT,0.5008497000000001,0.507440543365092,sl,3,-0.9999999999999963,-1.1215867948318017
?,2026-04-07 18:30:00+00:00,2026-04-07 19:00:00+00:00,LONG,0.510153,0.5038532328350019,sl,1,-0.9999999999999887,-1.1295674552124781
?,2026-04-09 21:30:00+00:00,2026-04-09 22:30:00+00:00,LONG,0.5281584,0.5340497908470745,tp,2,1.0000000000000024,0.8565613007292452
?,2026-04-12 11:30:00+00:00,2026-04-12 12:30:00+00:00,LONG,0.5491647000000001,0.5424228650056092,sl,2,-1.0000000000000002,-1.1303300245009023
?,2026-04-14 03:30:00+00:00,2026-04-14 08:00:00+00:00,LONG,0.6001799999999999,0.5868010826991612,sl,9,-0.9999999999999991,-1.071776211662493
?,2026-04-14 09:30:00+00:00,2026-04-14 10:30:00+00:00,LONG,0.6041812,0.5914071037966518,sl,2,-1.0000000000000016,-1.0756757976933544
?,2026-04-14 21:00:00+00:00,2026-04-14 21:00:00+00:00,LONG,0.6171850999999999,0.6041853489527758,sl,0,-1.0000000000000013,-1.0759626977788068
