symbol,entry_time,exit_time,direction,entry,exit,exit_reason,bars_held,gross_r,net_r
0GUSDT,2026-04-19 00:00:00+00:00,2026-04-27 00:00:00+00:00,SHORT,0.5668299,0.6463974497432947,sl,48,-0.9999999999999994,-1.0113982124990142
0GUSDT,2026-05-08 04:00:00+00:00,2026-05-13 12:00:00+00:00,LONG,0.5611683000000001,0.5446045800276513,trail,32,-0.327475324539346,-0.34522677375200833
1INCHUSDT,2026-05-05 04:00:00+00:00,2026-05-12 12:00:00+00:00,LONG,0.09692906999999999,0.09954666560975942,trail,44,0.35581967452287916,0.33473817819969415
1INCHUSDT,2026-08-01 20:00:00+00:00,2026-08-07 20:00:00+00:00,SHORT,0.08017594,0.08432529,flip,36,-0.5283034486873803,-0.5446365034950017
1INCHUSDT,2026-08-14 12:00:00+00:00,2026-08-17 16:00:00+00:00,SHORT,0.08207537000000001,0.08444495427996969,trail,19,-0.6519593578026628,-0.6880904587515942
1INCHUSDT,2026-08-19 16:00:00+00:00,2026-08-22 04:00:00+00:00,LONG,0.08612582999999999,0.09293018623243286,trail,15,1.3338569422586932,1.3068437683849985
1INCHUSDT,2026-08-28 20:00:00+00:00,2026-08-31 04:00:00+00:00,SHORT,0.08717384,0.0885,eod,14,-0.1586741119738282,-0.1753625738780915
2ZUSDT,2026-04-15 20:00:00+00:00,2026-04-18 08:00:00+00:00,LONG,0.081944576,0.089694816539654,trail,15,0.8190247955205592,0.8051692999634285
2ZUSDT,2026-04-19 08:00:00+00:00,2026-04-26 00:00:00+00:00,SHORT,0.08440467100000001,0.0912752575049385,trail,40,-0.45325547790056464,-0.4621646164641843
2ZUSDT,2026-05-04 04:00:00+00:00,2026-05-07 12:00:00+00:00,LONG,0.08634589599999999,0.09055192456866164,trail,20,0.5681595637355694,0.5494974949261502
2ZUSDT,2026-05-15 16:00:00+00:00,2026-05-20 16:00:00+00:00,SHORT,0.093521935,0.09733919299999999,flip,30,-0.21441240141873258,-0.22281728792886174
2ZUSDT,2026-05-26 04:00:00+00:00,2026-06-17 16:00:00+00:00,SHORT,0.09637108,0.07652294999999999,flip,135,1.0777898836163629,1.0694168812148526
AAVEUSDT,2026-04-18 20:00:00+00:00,2026-05-09 04:00:00+00:00,SHORT,103.708878,98.259469,flip,122,0.271116106664279,0.262860636104479
AAVEUSDT,2026-07-17 00:00:00+00:00,2026-07-21 04:00:00+00:00,SHORT,91.17264,94.91658134975181,trail,25,-0.37093720832725274,-0.385390137536592
AAVEUSDT,2026-07-25 08:00:00+00:00,2026-07-26 12:00:00+00:00,SHORT,90.952706,96.76208850992865,trail,7,-0.6892873928407607,-0.7065539587061432
AAVEUSDT,2026-08-01 04:00:00+00:00,2026-08-18 00:00:00+00:00,SHORT,92.562223,89.296781,flip,101,0.2898060079888841,0.27666226164730745
ACEUSDT,2026-04-24 16:00:00+00:00,2026-04-27 12:00:00+00:00,LONG,0.1280384,0.11952512911441983,trail,17,-0.387986781980158,-0.3973232088278049
