variant,window,trades,ret,dd,sharpe,avg_r,pf,win
prod (breadth sizing),FULL,5269,582.1,75.5,1.1,0.0491,1.19,45.2
prod (breadth sizing),F1 23Q4-24Q1,764,57.7,22.7,2.01,0.0698,1.28,45.4
prod (breadth sizing),F2 24Q2-24Q3,712,27.0,31.4,1.04,0.0513,1.19,47.2
prod (breadth sizing),F3 24Q4-25Q1,798,43.3,27.0,1.4,0.064,1.28,46.9
prod (breadth sizing),F4 25Q2-25Q3,1051,-0.6,62.3,0.5,-0.0026,0.99,44.7
prod (breadth sizing),F5 25Q4-26Q1,1032,-30.2,55.4,-0.87,-0.021,0.93,39.4
prod (breadth sizing),F6 26Q2-26Q3,912,242.6,17.6,2.49,0.1562,1.66,48.8
prod (breadth sizing),2024,1533,56.0,40.8,0.99,0.0322,1.12,44.2
prod (breadth sizing),2025,1802,54.4,62.3,0.87,0.0461,1.18,47.1
prod (breadth sizing),2026YTD,1564,108.4,44.4,1.33,0.0576,1.21,43.2
prod + Sunday,FULL,4959,804.1,72.5,1.2,0.0565,1.22,45.7
prod + Sunday,F1 23Q4-24Q1,713,58.4,23.2,2.0,0.0755,1.31,45.9
prod + Sunday,F2 24Q2-24Q3,675,20.8,32.2,0.9,0.0434,1.16,47.3
prod + Sunday,F3 24Q4-25Q1,740,67.3,26.1,1.78,0.0869,1.4,47.6
prod + Sunday,F4 25Q2-25Q3,1019,3.4,60.5,0.56,-0.002,0.99,45.1
prod + Sunday,F5 25Q4-26Q1,943,-26.5,52.3,-0.77,-0.0149,0.95,40.1
prod + Sunday,F6 26Q2-26Q3,869,271.3,16.8,2.62,0.171,1.73,49.4
prod + Sunday,2024,1445,79.8,41.4,1.24,0.0435,1.17,45.1
prod + Sunday,2025,1719,54.3,60.5,0.86,0.0438,1.17,46.9
prod + Sunday,2026YTD,1453,141.4,39.6,1.51,0.0735,1.28,44.2
prod + gate>=0.15,FULL,3714,526.7,68.5,1.08,0.0647,1.25,45.8
prod + gate>=0.15,F1 23Q4-24Q1,736,61.7,22.7,2.11,0.0793,1.32,46.3
prod + gate>=0.15,F2 24Q2-24Q3,399,11.9,35.4,0.69,0.0271,1.1,45.6
prod + gate>=0.15,F3 24Q4-25Q1,556,25.4,25.3,1.06,0.0436,1.18,45.1
prod + gate>=0.15,F4 25Q2-25Q3,909,19.0,54.6,0.82,0.0364,1.14,47.2
prod + gate>=0.15,F5 25Q4-26Q1,338,-26.3,38.9,-1.56,-0.0345,0.88,38.8
prod + gate>=0.15,F6 26Q2-26Q3,776,214.6,17.6,2.37,0.1615,1.67,47.3
prod + gate>=0.15,2024,1179,45.9,44.3,0.92,0.03,1.12,44.0
prod + gate>=0.15,2025,1137,47.7,54.7,0.87,0.0648,1.27,48.4
prod + gate>=0.15,2026YTD,1039,111.8,37.7,1.36,0.0892,1.34,44.2
prod + Sunday + gate>=0.15,FULL,3551,726.7,66.6,1.19,0.0733,1.29,46.4
prod + Sunday + gate>=0.15,F1 23Q4-24Q1,685,62.4,23.2,2.1,0.086,1.35,46.9
prod + Sunday + gate>=0.15,F2 24Q2-24Q3,383,8.7,37.3,0.59,0.0206,1.07,45.4
prod + Sunday + gate>=0.15,F3 24Q4-25Q1,533,50.2,23.7,1.57,0.0797,1.36,46.9
prod + Sunday + gate>=0.15,F4 25Q2-25Q3,886,22.5,53.0,0.87,0.0358,1.14,47.5
prod + Sunday + gate>=0.15,F5 25Q4-26Q1,328,-25.4,37.6,-1.66,-0.0368,0.88,39.6
prod + Sunday + gate>=0.15,F6 26Q2-26Q3,736,241.1,16.8,2.5,0.1787,1.75,47.8
prod + Sunday + gate>=0.15,2024,1120,69.6,45.7,1.2,0.0455,1.18,44.8
prod + Sunday + gate>=0.15,2025,1108,53.2,53.0,0.91,0.066,1.27,48.7
prod + Sunday + gate>=0.15,2026YTD,992,133.3,36.0,1.49,0.1002,1.38,44.9
prod unit-risk,FULL,5269,1040.5,76.5,1.21,0.0491,1.19,45.2
prod unit-risk,F1 23Q4-24Q1,764,66.3,22.7,2.05,0.0698,1.28,45.4
prod unit-risk,F2 24Q2-24Q3,712,41.5,37.9,1.14,0.0513,1.19,47.2
prod unit-risk,F3 24Q4-25Q1,798,63.7,33.1,1.47,0.064,1.28,46.9
prod unit-risk,F4 25Q2-25Q3,1051,-5.2,67.5,0.47,-0.0026,0.99,44.7
prod unit-risk,F5 25Q4-26Q1,1032,-21.6,68.9,0.07,-0.021,0.93,39.4
prod unit-risk,F6 26Q2-26Q3,912,298.4,20.5,2.56,0.1562,1.66,48.8
prod unit-risk,2024,1533,57.0,46.4,0.91,0.0322,1.12,44.2
prod unit-risk,2025,1802,119.8,67.5,1.18,0.0461,1.18,47.1
prod unit-risk,2026YTD,1564,132.3,57.3,1.39,0.0576,1.21,43.2
