variant,window,trades,ret,dd,sharpe,avg_r,pf,win
prod unit-risk (no overlay),full,1103,231.2,28.4,2.13,0.1126,1.46,47.1
prod unit-risk (no overlay),train,856,86.1,28.4,2.28,0.0755,1.31,47.2
prod unit-risk (no overlay),valid,247,77.9,18.1,2.79,0.2414,2.04,46.6
prod unit-risk (no overlay),F1,335,-15.7,28.4,-1.52,-0.0485,0.83,36.1
prod unit-risk (no overlay),F2,463,125.0,20.5,4.68,0.178,1.86,56.2
prod unit-risk (no overlay),F3,305,74.7,18.1,2.24,0.1903,1.76,45.2
prod + breadth sizing  [TRUE PROD],full,1103,200.5,17.6,2.13,0.1126,1.46,47.1
prod + breadth sizing  [TRUE PROD],train,856,69.9,17.6,2.57,0.0755,1.31,47.2
prod + breadth sizing  [TRUE PROD],valid,247,76.8,11.9,2.85,0.2414,2.04,46.6
prod + breadth sizing  [TRUE PROD],F1,335,-10.1,18.5,-1.31,-0.0485,0.83,36.1
prod + breadth sizing  [TRUE PROD],F2,463,89.0,15.4,5.03,0.178,1.86,56.2
prod + breadth sizing  [TRUE PROD],F3,305,76.8,12.3,2.34,0.1903,1.76,45.2
prod + breadth sizing + vol-target,full,1103,371.1,20.9,1.75,0.1126,1.46,47.1
prod + breadth sizing + vol-target,train,856,66.9,20.9,2.41,0.0755,1.31,47.2
prod + breadth sizing + vol-target,valid,247,182.2,14.4,2.93,0.2414,2.04,46.6
prod + breadth sizing + vol-target,F1,335,-14.3,22.2,-1.68,-0.0485,0.83,36.1
prod + breadth sizing + vol-target,F2,463,97.8,14.0,5.25,0.178,1.86,56.2
prod + breadth sizing + vol-target,F3,305,178.0,16.3,2.38,0.1903,1.76,45.2
prod + vol-target only,full,1103,428.4,27.2,1.75,0.1126,1.46,47.1
prod + vol-target only,train,856,81.9,27.2,2.29,0.0755,1.31,47.2
prod + vol-target only,valid,247,190.5,20.6,2.88,0.2414,2.04,46.6
prod + vol-target only,F1,335,-20.5,27.2,-1.99,-0.0485,0.83,36.1
prod + vol-target only,F2,463,136.4,17.5,5.23,0.178,1.86,56.2
prod + vol-target only,F3,305,181.2,23.3,2.33,0.1903,1.76,45.2
prod + Sunday filter,full,1026,290.5,21.2,2.37,0.137,1.58,48.3
prod + Sunday filter,train,793,122.4,19.8,2.89,0.1038,1.44,48.9
prod + Sunday filter,valid,233,75.6,17.7,2.74,0.2501,2.05,46.4
prod + Sunday filter,F1,295,-3.8,17.9,-0.18,-0.0103,0.96,38.0
prod + Sunday filter,F2,441,134.5,19.8,4.88,0.1963,1.98,57.4
prod + Sunday filter,F3,290,73.1,18.8,2.22,0.1968,1.78,45.2
prod + Sunday + breadth sizing,full,1026,239.3,16.8,2.33,0.137,1.58,48.3
prod + Sunday + breadth sizing,train,793,91.4,16.8,3.12,0.1038,1.44,48.9
prod + Sunday + breadth sizing,valid,233,77.3,12.0,2.86,0.2501,2.05,46.4
prod + Sunday + breadth sizing,F1,295,-3.5,17.9,-0.32,-0.0103,0.96,38.0
prod + Sunday + breadth sizing,F2,441,97.5,15.0,5.31,0.1963,1.98,57.4
prod + Sunday + breadth sizing,F3,290,77.9,12.1,2.36,0.1968,1.78,45.2
prod + breadth GATE>=0.15 + sizing,full,846,203.1,17.6,2.18,0.1486,1.62,47.5
prod + breadth GATE>=0.15 + sizing,train,604,69.3,17.6,2.88,0.1053,1.43,47.5
prod + breadth GATE>=0.15 + sizing,valid,242,79.1,11.1,2.9,0.2568,2.13,47.5
prod + breadth GATE>=0.15 + sizing,F1,213,-1.0,18.5,0.11,0.0141,1.05,38.5
prod + breadth GATE>=0.15 + sizing,F2,335,71.0,15.4,4.8,0.1858,1.86,54.6
prod + breadth GATE>=0.15 + sizing,F3,298,79.0,11.2,2.39,0.2031,1.83,46.0
prod + breadth GATE>=0.2 + sizing,full,673,164.4,20.0,1.97,0.146,1.56,43.7
prod + breadth GATE>=0.2 + sizing,train,475,50.6,17.6,2.34,0.0843,1.32,43.4
prod + breadth GATE>=0.2 + sizing,valid,198,75.6,12.5,2.83,0.294,2.21,44.4
prod + breadth GATE>=0.2 + sizing,F1,161,-6.1,18.5,-0.8,-0.0476,0.85,31.1
prod + breadth GATE>=0.2 + sizing,F2,263,61.6,12.6,4.99,0.1934,1.89,52.5
prod + breadth GATE>=0.2 + sizing,F3,249,74.2,13.2,2.37,0.2211,1.85,42.6
prod + breadth GATE>=0.25 + sizing,full,515,161.6,20.6,1.97,0.1864,1.7,42.9
prod + breadth GATE>=0.25 + sizing,train,402,47.5,17.6,2.27,0.0892,1.33,42.3
prod + breadth GATE>=0.25 + sizing,valid,113,77.4,11.6,2.87,0.5325,3.13,45.1
prod + breadth GATE>=0.25 + sizing,F1,149,-6.3,18.5,-0.8,-0.0544,0.84,29.5
prod + breadth GATE>=0.25 + sizing,F2,222,55.0,11.6,4.64,0.1915,1.87,52.3
prod + breadth GATE>=0.25 + sizing,F3,144,80.1,11.4,2.47,0.4278,2.61,42.4
prod + breadth GATE>=0.3 + sizing,full,409,170.6,17.6,2.17,0.2505,2.03,46.5
prod + breadth GATE>=0.3 + sizing,train,343,54.4,17.6,2.61,0.1309,1.52,45.2
prod + breadth GATE>=0.3 + sizing,valid,66,75.2,8.2,2.93,0.872,5.09,53.0
prod + breadth GATE>=0.3 + sizing,F1,131,-4.2,18.5,-0.47,-0.0282,0.91,29.8
prod + breadth GATE>=0.3 + sizing,F2,191,58.3,10.4,4.86,0.2443,2.31,57.1
prod + breadth GATE>=0.3 + sizing,F3,87,78.4,8.2,2.58,0.6841,3.81,48.3
prod + breadth GATE>=0.1 + sizing,full,1045,220.7,17.6,2.23,0.1313,1.55,48.0
prod + breadth GATE>=0.1 + sizing,train,798,81.4,17.6,2.87,0.0972,1.41,48.5
prod + breadth GATE>=0.1 + sizing,valid,247,76.8,11.9,2.85,0.2414,2.04,46.6
prod + breadth GATE>=0.1 + sizing,F1,300,-4.8,18.5,-0.53,-0.016,0.94,38.0
prod + breadth GATE>=0.1 + sizing,F2,440,90.5,15.4,5.09,0.1908,1.93,56.8
prod + breadth GATE>=0.1 + sizing,F3,305,76.8,12.3,2.34,0.1903,1.76,45.2
prod + breadth GATE>=0.12 + sizing,full,929,208.3,17.6,2.19,0.1391,1.58,47.0
prod + breadth GATE>=0.12 + sizing,train,682,74.3,17.6,2.96,0.102,1.42,47.2
prod + breadth GATE>=0.12 + sizing,valid,247,76.8,11.9,2.85,0.2414,2.04,46.6
prod + breadth GATE>=0.12 + sizing,F1,250,-0.2,18.5,0.17,0.0178,1.07,38.8
prod + breadth GATE>=0.12 + sizing,F2,374,74.8,15.4,4.97,0.1784,1.83,54.0
prod + breadth GATE>=0.12 + sizing,F3,305,76.8,12.3,2.34,0.1903,1.76,45.2
prod + breadth GATE>=0.18 + sizing,full,761,169.9,19.7,2.0,0.1346,1.53,45.1
prod + breadth GATE>=0.18 + sizing,train,532,51.4,17.6,2.35,0.0775,1.29,44.5
prod + breadth GATE>=0.18 + sizing,valid,229,78.2,11.2,2.88,0.2672,2.16,46.3
prod + breadth GATE>=0.18 + sizing,F1,182,-4.6,18.5,-0.53,-0.0246,0.92,33.5
prod + breadth GATE>=0.18 + sizing,F2,298,60.5,15.9,4.59,0.1662,1.74,53.0
prod + breadth GATE>=0.18 + sizing,F3,281,76.2,12.2,2.35,0.2042,1.82,44.1
Sunday + GATE>=0.1 + sizing,full,995,242.6,16.8,2.34,0.1432,1.61,48.5
Sunday + GATE>=0.1 + sizing,train,762,93.3,16.8,3.16,0.1105,1.47,49.2
Sunday + GATE>=0.1 + sizing,valid,233,77.3,12.0,2.86,0.2501,2.05,46.4
Sunday + GATE>=0.1 + sizing,F1,287,-3.3,17.9,-0.29,-0.0092,0.97,38.0
Sunday + GATE>=0.1 + sizing,F2,418,99.0,15.0,5.37,0.2107,2.06,58.1
Sunday + GATE>=0.1 + sizing,F3,290,77.9,12.1,2.36,0.1968,1.78,45.2
Sunday + GATE>=0.15 + sizing,full,809,221.3,16.8,2.27,0.1601,1.67,47.8
Sunday + GATE>=0.15 + sizing,train,581,79.0,16.8,3.14,0.1183,1.49,48.0
Sunday + GATE>=0.15 + sizing,valid,228,79.5,10.9,2.91,0.2666,2.15,47.4
Sunday + GATE>=0.15 + sizing,F1,210,-0.2,17.9,0.23,0.0171,1.06,38.1
Sunday + GATE>=0.15 + sizing,F2,316,78.7,15.0,5.11,0.21,2.02,56.0
Sunday + GATE>=0.15 + sizing,F3,283,80.2,11.0,2.41,0.2104,1.85,45.9
Sunday + GATE>=0.2 + sizing,full,638,182.9,19.1,2.08,0.1628,1.63,44.2
Sunday + GATE>=0.2 + sizing,train,452,59.7,16.8,2.63,0.1012,1.39,44.0
Sunday + GATE>=0.2 + sizing,valid,186,77.2,12.0,2.86,0.3124,2.27,44.6
Sunday + GATE>=0.2 + sizing,F1,157,-5.3,17.9,-0.68,-0.0441,0.87,30.6
Sunday + GATE>=0.2 + sizing,F2,245,69.3,12.0,5.44,0.2264,2.12,54.3
Sunday + GATE>=0.2 + sizing,F3,236,76.4,12.4,2.41,0.2344,1.89,42.8
prod + breadth sizing  [TRUE PROD],full,1103,200.5,17.6,2.13,0.1126,1.46,47.1
prod + breadth sizing  [TRUE PROD],train,856,69.9,17.6,2.57,0.0755,1.31,47.2
prod + breadth sizing  [TRUE PROD],valid,247,76.8,11.9,2.85,0.2414,2.04,46.6
prod + breadth sizing  [TRUE PROD],F1,335,-10.1,18.5,-1.31,-0.0485,0.83,36.1
prod + breadth sizing  [TRUE PROD],F2,463,89.0,15.4,5.03,0.178,1.86,56.2
prod + breadth sizing  [TRUE PROD],F3,305,76.8,12.3,2.34,0.1903,1.76,45.2
prod + breadth sizing  [TRUE PROD] 2x costs,full,1103,168.9,18.3,1.97,0.0982,1.39,46.2
prod + breadth sizing  [TRUE PROD] 2x costs,train,856,56.3,18.3,2.23,0.062,1.24,46.4
prod + breadth sizing  [TRUE PROD] 2x costs,valid,247,72.0,13.5,2.77,0.2239,1.92,45.7
prod + breadth sizing  [TRUE PROD] 2x costs,F1,335,-13.1,19.3,-1.78,-0.0626,0.79,35.5
prod + breadth sizing  [TRUE PROD] 2x costs,F2,463,80.8,15.9,4.79,0.165,1.78,55.3
prod + breadth sizing  [TRUE PROD] 2x costs,F3,305,71.0,14.4,2.26,0.1735,1.67,44.3
prod + breadth sizing  [TRUE PROD] 3x costs,full,1103,140.6,20.8,1.81,0.0838,1.32,45.6
prod + breadth sizing  [TRUE PROD] 3x costs,train,856,43.8,20.8,1.88,0.0485,1.19,45.7
prod + breadth sizing  [TRUE PROD] 3x costs,valid,247,67.3,15.2,2.69,0.2064,1.82,45.3
prod + breadth sizing  [TRUE PROD] 3x costs,F1,335,-16.0,21.8,-2.25,-0.0767,0.75,34.6
prod + breadth sizing  [TRUE PROD] 3x costs,F2,463,73.0,16.5,4.55,0.152,1.69,54.6
prod + breadth sizing  [TRUE PROD] 3x costs,F3,305,65.5,16.4,2.17,0.1566,1.59,43.9
prod + Sunday + breadth sizing,full,1026,239.3,16.8,2.33,0.137,1.58,48.3
prod + Sunday + breadth sizing,train,793,91.4,16.8,3.12,0.1038,1.44,48.9
prod + Sunday + breadth sizing,valid,233,77.3,12.0,2.86,0.2501,2.05,46.4
prod + Sunday + breadth sizing,F1,295,-3.5,17.9,-0.32,-0.0103,0.96,38.0
prod + Sunday + breadth sizing,F2,441,97.5,15.0,5.31,0.1963,1.98,57.4
prod + Sunday + breadth sizing,F3,290,77.9,12.1,2.36,0.1968,1.78,45.2
prod + Sunday + breadth sizing 2x costs,full,1026,206.0,17.4,2.18,0.1227,1.51,47.5
prod + Sunday + breadth sizing 2x costs,train,793,77.2,17.4,2.82,0.0904,1.38,48.0
prod + Sunday + breadth sizing 2x costs,valid,233,72.8,13.6,2.79,0.2324,1.94,45.5
prod + Sunday + breadth sizing 2x costs,F1,295,-6.4,18.7,-0.78,-0.0245,0.91,37.3
prod + Sunday + breadth sizing 2x costs,F2,441,89.5,15.5,5.1,0.1835,1.89,56.5
prod + Sunday + breadth sizing 2x costs,F3,290,72.5,14.1,2.28,0.1798,1.69,44.1
prod + Sunday + breadth sizing 3x costs,full,1026,176.0,18.0,2.04,0.1083,1.43,46.8
prod + Sunday + breadth sizing 3x costs,train,793,64.0,18.0,2.51,0.077,1.31,47.3
prod + Sunday + breadth sizing 3x costs,valid,233,68.3,15.1,2.71,0.2147,1.84,45.1
prod + Sunday + breadth sizing 3x costs,F1,295,-9.2,19.4,-1.24,-0.0386,0.86,36.3
prod + Sunday + breadth sizing 3x costs,F2,441,81.9,16.1,4.88,0.1707,1.81,55.8
prod + Sunday + breadth sizing 3x costs,F3,290,67.2,16.0,2.2,0.1629,1.6,43.8
prod + GATE>=0.15 + sizing,full,846,203.1,17.6,2.18,0.1486,1.62,47.5
prod + GATE>=0.15 + sizing,train,604,69.3,17.6,2.88,0.1053,1.43,47.5
prod + GATE>=0.15 + sizing,valid,242,79.1,11.1,2.9,0.2568,2.13,47.5
prod + GATE>=0.15 + sizing,F1,213,-1.0,18.5,0.11,0.0141,1.05,38.5
prod + GATE>=0.15 + sizing,F2,335,71.0,15.4,4.8,0.1858,1.86,54.6
prod + GATE>=0.15 + sizing,F3,298,79.0,11.2,2.39,0.2031,1.83,46.0
