symbol,entry_time,exit_time,direction,entry,exit,exit_reason,bars_held,gross_r,net_r,atr_pct
0GUSDT,2026-05-08 04:00:00+00:00,2026-05-13 12:00:00+00:00,LONG,0.5611683000000001,0.5446045800276513,trail,32,-0.327475324539346,-0.34522677375200833,1.8026697210261584
0GUSDT,2026-07-25 08:00:00+00:00,2026-08-01 08:00:00+00:00,SHORT,0.16894930000000002,0.1450435,time,42,1.0378562940664189,1.0261205583448374,2.726714435223114
1INCHUSDT,2026-03-18 20:00:00+00:00,2026-03-25 12:00:00+00:00,SHORT,0.09747075000000001,0.09742922,flip,40,0.0037863214091528427,-0.010432049406781581,2.2506094695559518
1INCHUSDT,2026-05-05 04:00:00+00:00,2026-05-12 04:00:00+00:00,LONG,0.09692906999999999,0.1019694,time,42,0.6851511262477784,0.6640696299245934,1.5179188189221184
1INCHUSDT,2026-05-13 16:00:00+00:00,2026-05-20 16:00:00+00:00,SHORT,0.09667099,0.09272781000000001,time,42,0.3906819235952374,0.37535719245780785,2.0881279882191333
1INCHUSDT,2026-06-18 16:00:00+00:00,2026-06-25 16:00:00+00:00,SHORT,0.07227831000000001,0.06682004,time,42,0.6741831981385616,0.6598991639103243,2.2402634639968277
1INCHUSDT,2026-08-01 20:00:00+00:00,2026-08-07 20:00:00+00:00,SHORT,0.08017594,0.08432529,flip,36,-0.5283034486873803,-0.5446365034950017,1.9592170832040556
1INCHUSDT,2026-08-14 12:00:00+00:00,2026-08-17 16:00:00+00:00,SHORT,0.08207537000000001,0.08444495427996969,trail,19,-0.6519593578026628,-0.6880904587515942,0.8856635740280804
1INCHUSDT,2026-08-19 16:00:00+00:00,2026-08-22 04:00:00+00:00,LONG,0.08612582999999999,0.09293018623243286,trail,15,1.3338569422586932,1.3068437683849985,1.1846071901666295
2ZUSDT,2026-03-27 12:00:00+00:00,2026-03-30 08:00:00+00:00,SHORT,0.070938712,0.07207778922905116,trail,17,-0.15563099502459662,-0.17113865270082962,2.063496671650366
2ZUSDT,2026-04-15 20:00:00+00:00,2026-04-18 08:00:00+00:00,LONG,0.081944576,0.089694816539654,trail,15,0.8190247955205592,0.8051692999634285,2.309552903976159
2ZUSDT,2026-04-29 16:00:00+00:00,2026-05-04 04:00:00+00:00,SHORT,0.082445259,0.08634589599999999,flip,27,-0.4238997640117157,-0.4382352792966232,2.232218330769716
2ZUSDT,2026-05-15 16:00:00+00:00,2026-05-20 16:00:00+00:00,SHORT,0.093521935,0.09733919299999999,flip,30,-0.21441240141873258,-0.22281728792886174,3.807308993575954
2ZUSDT,2026-06-22 20:00:00+00:00,2026-06-29 20:00:00+00:00,SHORT,0.07115864599999999,0.062438726,time,42,0.5648537330439561,0.5574785778899723,4.3388917699874
2ZUSDT,2026-08-11 12:00:00+00:00,2026-08-12 16:00:00+00:00,SHORT,0.05331400100000001,0.055280510595317925,trail,7,-0.3733907718130736,-0.38958755501045406,1.9757009530865015
AAVEUSDT,2026-03-07 20:00:00+00:00,2026-03-10 16:00:00+00:00,SHORT,108.437459,114.464329,flip,17,-0.42631773870146045,-0.43859046064473445,2.6074085396791213
AAVEUSDT,2026-03-19 16:00:00+00:00,2026-03-25 12:00:00+00:00,SHORT,111.72647200000002,115.454626,flip,35,-0.2409699499864574,-0.25252428915592445,2.7695223007267766
AAVEUSDT,2026-05-09 04:00:00+00:00,2026-05-12 12:00:00+00:00,LONG,98.259469,95.92987861544565,trail,20,-0.2604141520242299,-0.27798850773424016,1.8208348873792837
AAVEUSDT,2026-05-15 20:00:00+00:00,2026-05-22 20:00:00+00:00,SHORT,92.732172,86.195851,time,42,0.5820143852071621,0.5688029268163015,2.422139861723151
AAVEUSDT,2026-07-21 08:00:00+00:00,2026-07-25 00:00:00+00:00,LONG,94.92847,91.97640623939279,trail,22,-0.35299003283245517,-0.37115159380640494,1.7619630848856795
AAVEUSDT,2026-07-25 08:00:00+00:00,2026-07-26 12:00:00+00:00,SHORT,90.952706,96.76208850992865,trail,7,-0.6892873928407607,-0.7065539587061432,1.8532926726417827
AAVEUSDT,2026-08-01 04:00:00+00:00,2026-08-08 04:00:00+00:00,SHORT,92.562223,90.397111,time,42,0.19215238413936922,0.1790086377977925,2.434617891154566
ACEUSDT,2026-03-22 00:00:00+00:00,2026-03-29 00:00:00+00:00,SHORT,0.1389583,0.11803539999999998,time,42,1.3490674956717608,1.3347318824797996,2.2322030855257666
ACEUSDT,2026-04-24 16:00:00+00:00,2026-04-27 12:00:00+00:00,LONG,0.1280384,0.11952512911441983,trail,17,-0.387986781980158,-0.3973232088278049,3.4274354120886343
