init_mult,init_floor,trades,win,avg_r,pf,ret,dd,sharpe
2.0,0.02,5313,38.21,0.1206,1.216,27675.86,92.62,1.46
2.0,0.03,5312,38.44,0.1147,1.207,21015.28,93.14,1.49
2.5,0.02,5206,41.68,0.0985,1.204,9631.09,88.02,1.39
2.5,0.03,5206,41.74,0.0943,1.196,7825.28,88.69,1.4
3.0,0.02,5104,44.24,0.0928,1.223,7525.26,83.69,1.43
3.0,0.03,5104,44.24,0.0897,1.216,6476.26,84.19,1.43
3.5,0.02,5014,45.27,0.0784,1.216,3671.8,81.77,1.36
3.5,0.03,5014,45.27,0.0765,1.211,3356.13,82.0,1.36
4.0,0.02,4973,45.45,0.0665,1.207,2060.13,79.83,1.29
5.0,0.02,4959,45.67,0.0565,1.22,1314.04,73.1,1.27
5.0,0.005,4959,45.67,0.0565,1.22,1314.04,73.1,1.27
3.5,0.005,5014,45.27,0.0784,1.216,3674.79,81.77,1.36
